qid,hop,condition,label_mode,raw_output,prediction,gold_answers,gold_count,prediction_count,exact_match,set_precision,set_recall,set_f1,abstained,mixed_unknown,duplicate_output,protocol_violation,hit_max_token_limit,input_tokens,output_tokens,generation_seconds,peak_gpu_memory_gb,false_candidate_count,false_candidates,false_adopted,gold_retained_any,gold_retained_all,contradiction_category
2hop_test_10263,2,clean,natural,Cate Blanchett; Frances McDormand; Pauline Collins; Glenn Close; Edward Woodward; Jack Thompson; Bryan Brown,cate blanchett || frances mcdormand || pauline collins || glenn close || edward woodward || jack thompson || bryan brown,glenn close || frances mcdormand || edward woodward || bryan brown || cate blanchett || jack thompson || pauline collins,7,7,1,1.0,1.0,1.0,0,0,0,0,0,307,26,6.0201,2.599,0,,,1,1,
2hop_test_10462,2,clean,natural,Will Arnett;Liam Neeson;Brendan Fraser;Katherine Heigl,will arnett || liam neeson || brendan fraser || katherine heigl,brendan fraser || liam neeson || katherine heigl || will arnett,4,4,1,1.0,1.0,1.0,0,0,0,0,0,255,20,4.2271,2.59,0,,,1,1,
2hop_test_10615,2,clean,natural,Walter Hill,walter hill,walter hill,1,1,1,1.0,1.0,1.0,0,0,0,0,0,230,4,0.7323,2.584,0,,,1,1,
2hop_test_1086,2,clean,natural,Takashi Yamazaki; John Woo,takashi yamazaki || john woo,john woo || takashi yamazaki,2,2,1,1.0,1.0,1.0,0,0,0,0,0,247,10,1.4499,2.588,0,,,1,1,
2hop_test_11223,2,clean,natural,Jafar Panahi,jafar panahi,jafar panahi,1,1,1,1.0,1.0,1.0,0,0,0,0,0,208,6,0.9501,2.58,0,,,1,1,
2hop_test_11457,2,clean,natural,Daniel de Oliveira,daniel de oliveira,daniel de oliveira,1,1,1,1.0,1.0,1.0,0,0,0,0,0,212,4,1.0352,2.581,0,,,1,1,
2hop_test_11618,2,clean,natural,Robert Luketic; Tim Johnson,robert luketic || tim johnson,tim johnson || karey kirkpatrick || robert luketic,3,2,0,1.0,0.6666666666666666,0.8,0,0,0,0,0,259,7,1.9734,2.59,0,,,1,0,
2hop_test_13543,2,clean,natural,Ken Bruen,ken bruen,ken bruen,1,1,1,1.0,1.0,1.0,0,0,0,0,0,204,4,0.7402,2.579,0,,,1,1,
2hop_test_14308,2,clean,natural,Bette Gordon,bette gordon,bette gordon,1,1,1,1.0,1.0,1.0,0,0,0,0,0,223,4,1.0759,2.583,0,,,1,1,
2hop_test_14455,2,clean,natural,Webb Smith; Dorothy Ann Blank; Merrill De Maris; Richard Creedon; Earl Hurd; Dick Rickard; Otto Englander,webb smith || dorothy ann blank || merrill de maris || richard creedon || earl hurd || dick rickard || otto englander,dorothy ann blank || dick rickard || richard creedon || otto englander || earl hurd || merrill de maris || webb smith || ted sears,8,7,0,1.0,0.875,0.9333333333333333,0,0,0,0,0,351,29,6.6385,2.608,0,,,1,0,
2hop_test_1706,2,clean,natural,Renny Harlin; Todd Lincoln,renny harlin || todd lincoln,renny harlin || todd lincoln,2,2,1,1.0,1.0,1.0,0,0,0,0,0,235,8,1.9664,2.586,0,,,1,1,
2hop_test_1772,2,clean,natural,Jean Becker,jean becker,jean becker,1,1,1,1.0,1.0,1.0,0,0,0,0,0,212,3,0.8734,2.581,0,,,1,1,
2hop_test_8123,2,clean,natural,Heather Graham; Matt Dillon,heather graham || matt dillon,kelly lynch || matt dillon || heather graham,3,2,0,1.0,0.6666666666666666,0.8,0,0,0,0,0,233,7,1.8391,2.586,0,,,1,0,
2hop_test_9147,2,clean,natural,Tom Holland; John Lafia,tom holland || john lafia,tom holland,1,2,0,0.5,1.0,0.6666666666666666,0,0,0,0,0,213,7,7.5663,2.581,0,,,1,1,
3hop_test_10122,3,clean,natural,UNKNOWN,,wendy wasserstein || stephen mccauley || arthur miller || alan bennett,4,0,0,0.0,0.0,0.0,1,0,0,0,0,299,2,0.9233,2.597,0,,,0,0,
3hop_test_10307,3,clean,natural,Ingmar Bergman; Kenneth Branagh; Akira Kurosawa; Baran bo Odar; Steve McQueen; Liv Ullmann; Harold Prince; Jordan Barker; Richard Brooks,ingmar bergman || kenneth branagh || akira kurosawa || baran bo odar || steve mcqueen || liv ullmann || harold prince || jordan barker || richard brooks,baran bo odar || steve mcqueen || harold prince || ingmar bergman || liv ullmann || akira kurosawa || jordan barker || richard brooks || alf sjöberg || kenneth branagh,10,9,0,1.0,0.9,0.9473684210526316,0,0,0,0,0,432,39,8.7343,2.641,0,,,1,0,
3hop_test_10333,3,clean,natural,David Michôd; Joel Edgerton,david michôd || joel edgerton,david michôd || joel edgerton,2,2,1,1.0,1.0,1.0,0,0,0,0,0,229,10,2.4186,2.584,0,,,1,1,
3hop_test_10341,3,clean,natural,Dave Chappelle; Neal Brennan,dave chappelle || neal brennan,dave chappelle || neal brennan,2,2,1,1.0,1.0,1.0,0,0,0,0,0,238,8,1.9852,2.586,0,,,1,1,
3hop_test_1141,3,clean,natural,Hal Walker,hal walker,norman panama || melvin frank,2,1,0,0.0,0.0,0.0,0,0,0,0,0,250,3,0.9681,2.589,0,,,0,0,
3hop_test_1808,3,clean,natural,Robert Harris; Michael Barak; Tom Stoppard; Kevin Allen; Paul Durden; Richard Jobson; Roland Joffé; James Hacking; John Hay,robert harris || michael barak || tom stoppard || kevin allen || paul durden || richard jobson || roland joffé || james hacking || john hay,james hacking || john hay || kevin allen || roland joffé || michael barak || richard jobson || paul durden || robert harris || tom stoppard,9,9,1,1.0,1.0,1.0,0,0,0,0,0,374,35,7.9066,2.614,0,,,1,1,
3hop_test_1846,3,clean,natural,UNKNOWN,,gregory jacobs || steven soderbergh,2,0,0,0.0,0.0,0.0,1,0,0,0,0,229,2,0.7364,2.584,0,,,0,0,
